Term,Section Name,Requisites,Description,Available Seats,Enrolled,Capacity,Waitlisted,Instructor Method,Modality 1 Schedule,Modality 1 Instructor,Modality 1 Times,Modality 1 Location,Modality 1 Days,Modality 2 Times,Modality 2 Days,Modality 2 Instructor,Modality 2 Location
Spring 2025,ART-11B-01,None,Small Metal/Jewelry Casting II,15,10,25,0,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Leeyeon Yoo,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,ART-25A-01,None,Beg Woodworking/Furniture,0,25,25,6,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Steven J. Schloemer,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,ART-25B-01,None,Intermed Woodworking/Furniture,0,25,25,1,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Steven J. Schloemer,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,ART-28-01,None,Letter/Typography,7,18,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Carl Rohrs,2:30 PM - 4:35 PM,None,M,4:45 PM - 5:35 PM,M,None,None,None
Spring 2025,ART-2A-01,None,Drawing and Composition I,1,24,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Matthew W. Taylor,9:00 AM - 11:05 AM,None,T,11:15 AM - 12:05 PM,T,None,None,None
Spring 2025,ART-2B-01,None,Draw/Composition II,0,25,25,5,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Danielle B. Torvik-Staffen,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,ART-31A-01,None,Painting I,11,14,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Matthew W. Taylor,10:00 AM - 12:05 PM,None,F,12:35 PM - 4:40 PM,F,None,None,None
Spring 2025,ART-31B-01,None,Painting II,11,14,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Matthew W. Taylor,10:00 AM - 12:05 PM,None,F,12:35 PM - 4:40 PM,F,None,None,None
Spring 2025,ART-31C-01,None,Painting III,11,14,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Matthew W. Taylor,10:00 AM - 12:05 PM,None,F,12:35 PM - 4:40 PM,F,None,None,None
Spring 2025,ART-33A-01,None,Screen Printing-Serigraphy I,0,25,25,3,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Tobin W. Keller,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,ART-33B-01,None,Screen Printing-Serigraphy II,0,25,25,3,"Required Times on Campus Lect, Required Times on Campus Lab, To Be Arranged on Campus Lab",2/3/2025 - 5/31/2025,Tobin W. Keller,1:00 PM - 3:05 PM,None,T,3:15 PM - 4:05 PM,T,None,None,None
Spring 2025,ART-3A-01,None,Life Drawing I,3,22,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Claire E. Thorson,6:00 PM - 8:05 PM,None,T,8:15 PM - 9:05 PM,T,None,None,None
Spring 2025,ART-3B-01,None,Life Drawing II,3,22,25,0,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Claire E. Thorson,6:00 PM - 8:05 PM,None,T,8:15 PM - 9:05 PM,T,None,None,None
Spring 2025,ART-4-01,None,2D Design/Color,0,25,25,15,"Required Times on Campus Lect, Required Times on Campus Lab",2/3/2025 - 5/31/2025,Lucia P Znamirowski,1:00 PM - 3:05 PM,None,M,3:15 PM - 4:05 PM,M,None,None,None
Spring 2025,ART-479-01,None,Creative Careers,14,16,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Leslie Murray,6:00 PM - 9:05 PM,None,M, - ,,Gabriel J. Medina,None,Gabriel J. Medina
Spring 2025,ART-495A-01,None,Survey Digi Fab Art,8,17,25,0,"Required Times on Campus Lect, Required Times on Campus Lab,  Arranged On Campus Lab",2/3/2025 - 5/31/2025,Biagio J. Scarpello,9:00 AM - 11:05 AM,None,T,11:15 AM - 12:05 PM,T,None,None,None
